company,sector,price,variation,open,high,low,downward_limit,upward_limit,last_dividend,last_dividend_date,volume,valuation,capital,estimated_yield_2024,tradeDate
AIR LIQUIDE,Chimie de base,193.360,+1.35,189.820,194.140,189.700,187.560,199.160,2.95,15.05.23,625394,101444000000,0.12,1.82,07.03.24/17:35:05
AIRBUS,Aérospatiale,158.340,+0.06,157.680,158.660,156.740,153.600,163.080,1.8,25.04.23,866530,125161000000,0.11,1.62,07.03.24/17:39:58
ALSTOM,Outillage industriel,12.0600,+1.86,11.7900,12.0950,11.6900,11.7000,12.4200,0.25,17.07.23,1335247,4635000000,0.35,-,07.03.24/17:35:25
ARCELORMITTAL,Fer et acier,23.8050,+1.58,23.3300,24.0300,23.3050,23.0950,24.5150,0.38,13.05.22,3325153,20301000000,0.39,1.94,07.03.24/17:35:01
AXA,Assurance - Services complets,33.1000,+1.13,32.5700,33.1700,32.5600,32.1100,34.0900,1.7,08.05.23,3051206,75143000000,0.13,6.43,07.03.24/17:35:15
BNP PARIBAS,Banques,58.390,+1.96,57.130,58.580,57.100,56.640,60.140,3.9,22.05.23,3758442,67001000000,0.33,8.19,07.03.24/17:36:35
BOUYGUES,Construction lourde,36.390,+0.66,36.000,36.690,35.990,35.300,37.480,1.8,03.05.23,939218,13790000000,0.25,4.98,07.03.24/17:35:02
CAPGEMINI,Services informatiques,226.800,+2.16,221.500,227.200,221.500,220.000,233.600,3.25,30.05.23,362629,39148000000,0.21,1.60,07.03.24/17:35:04
CARREFOUR,Détaillants et grossistes - Alimentation,15.5700,-1.05,15.4950,15.7550,15.4800,15.1050,16.0350,0.56,06.06.23,2104798,11036000000,0.30,5.63,07.03.24/17:35:22
CREDIT AGRICOLE SA,Banques,12.8040,+2.11,12.5200,12.8480,12.5200,12.4200,13.1880,1.05,30.05.23,6553560,39087000000,0.21,7.27,07.03.24/17:38:22
DANONE,Produits alimentaires,58.880,+0.26,58.630,59.040,58.410,57.120,60.640,2,09.05.23,1086245,39907000000,0.16,3.66,07.03.24/17:35:25
DASSAULT SYSTEMES,Logiciels,42.3450,+0.59,41.9150,42.5200,41.9100,41.0750,43.6150,0.21,29.05.23,1319799,56592000000,0.10,0.60,07.03.24/17:37:46
EDENRED,Gestion financière,48.100,-0.52,48.220,48.450,47.820,46.660,49.540,1,07.06.23,438109,12005000000,0.18,2.51,07.03.24/17:35:09
ENGIE,Services multiples aux collectivités,15.2660,+0.61,15.1360,15.4140,15.0300,14.8100,15.7220,1.4,28.04.23,5206231,37177000000,0.21,8.15,07.03.24/17:35:59
ESSILORLUXOTTICA,Fournitures médicales,203.450,+0.89,200.900,205.400,200.200,197.360,209.550,3.23,22.05.23,495622,92333000000,0.11,1.98,07.03.24/17:35:27
EUROFINS SCIENTIFIC,Prestataires de soins de santé,55.640,+1.20,54.820,55.700,54.580,53.980,57.300,1,04.07.23,283191,10737000000,0.15,1.69,07.03.24/17:35:23
HERMES INTL,Habillement et accessoires,2315.000,+1.92,2255.000,2316.000,2247.000,2246.000,2384.000,3.5,13.02.24,51143,244393000000,0.05,0.76,07.03.24/17:35:28
KERING,Distributeurs - Diversifiés,411.450,+0.07,407.700,412.600,402.750,399.150,423.750,4.5,15.01.24,242337,50781000000,0.20,3.30,07.03.24/17:36:44
L'OREAL,Produits de soin personnel,445.350,+1.64,435.750,445.450,435.200,432.000,458.700,6,26.04.23,255416,238140000000,0.05,1.58,07.03.24/17:35:17
LEGRAND,Composants et équipements électriques,95.780,+0.42,94.880,96.460,94.560,92.920,98.640,1.9,02.06.23,573886,25289000000,0.22,2.30,07.03.24/17:35:14
LVMH,Habillement et accessoires,839.800,+0.86,827.200,843.700,820.800,814.700,864.900,5.5,04.12.23,277910,421076000000,0.06,1.65,07.03.24/17:37:22
MICHELIN,Pneus,34.010,-0.53,33.980,34.190,33.510,32.990,35.030,4.5,17.05.22,1261070,24316000000,0.18,4.72,07.03.24/17:35:06
ORANGE,Télécommunications filaires,10.5060,-0.23,10.5340,10.6840,10.4860,10.1920,10.8200,0.3,04.12.23,5948676,27947000000,0.22,7.09,07.03.24/17:38:37
PERNOD RICARD,Distillateurs et viticulteurs,150.600,-0.30,150.450,150.900,147.900,146.100,155.100,2.64,24.11.23,474769,38498000000,0.19,3.01,07.03.24/17:35:09
PUBLICIS GROUPE,Agences de médias,96.600,+0.60,95.640,97.080,95.400,93.720,99.480,2.9,03.07.23,356714,24567000000,0.14,3.56,07.03.24/17:35:22
RENAULT,Automobiles,39.220,+1.04,38.510,39.415,38.255,38.045,40.395,0.25,17.05.23,860890,11598000000,0.29,6.03,07.03.24/17:35:25
SAFRAN,Aérospatiale,196.620,-1.06,197.360,199.240,196.620,190.740,202.500,1.35,30.05.23,473519,84008000000,0.11,1.45,07.03.24/17:35:26
SAINT-GOBAIN,Materiaux et accessoires de construction,69.220,+1.58,67.550,69.500,67.480,67.150,71.290,2,12.06.23,941662,35057000000,0.19,3.22,07.03.24/17:35:14
SANOFI,Pharmacie,88.000,+1.01,87.160,88.380,86.900,85.360,90.640,3.56,30.05.23,1431624,111302000000,0.11,4.42,07.03.24/17:35:26
SCHNEIDER ELECTRIC,Composants et équipements électriques,211.300,+1.20,206.800,212.000,206.800,205.000,217.600,3.15,09.05.23,636450,121040000000,0.11,1.81,07.03.24/17:35:28
SOCIETE GENERALE,Banques,23.1350,+1.56,22.6600,23.2750,22.6600,22.4450,23.8250,1.7,30.05.23,3649693,18577000000,0.45,4.84,07.03.24/17:37:02
STELLANTIS,Automobiles,25.1750,+0.72,24.7600,25.2450,24.7150,24.4200,25.9300,1.34,24.04.23,1910178,79684000000,0.06,6.35,07.03.24/17:35:54
