company,sector,price,variation,open,high,low,downward_limit,upward_limit,last_dividend,last_dividend_date,volume,valuation,capital,estimated_yield_2024,tradeDate
AIR LIQUIDE,Chimie de base,189.500,+2.20,186.000,190.180,186.000,183.820,195.180,2.95,15.05.23,684869,99399,0.13,1.83,23.02.24/17:37:19
AIRBUS,Aérospatiale,147.960,+0.46,147.460,148.300,146.500,143.540,152.380,1.8,25.04.23,770288,116956,0.10,1.68,23.02.24/17:35:25
ALSTOM,Outillage industriel,11.7900,-0.30,11.9600,12.0000,11.6600,11.4400,12.1400,0.25,17.07.23,1351237,4531,0.35,-,23.02.24/17:35:13
ARCELORMITTAL,Fer et acier,24.3150,-0.16,24.2000,24.3950,24.0700,23.5900,25.0400,0.38,13.05.22,1990303,20736,0.23,1.92,23.02.24/17:39:46
AXA,Assurance - Services complets,32.3000,+0.75,32.1600,32.4400,31.8350,31.3350,33.2650,1.7,08.05.23,3300491,73327,0.15,6.27,23.02.24/17:35:24
BNP PARIBAS,Banques,56.390,+0.30,56.560,56.760,56.090,54.700,58.080,3.9,22.05.23,2247149,64706,0.20,8.22,23.02.24/17:35:25
BOUYGUES,Construction lourde,34.260,-1.61,34.400,34.640,33.650,33.240,35.280,1.8,03.05.23,1353168,13097,0.35,5.17,23.02.24/17:35:03
CAPGEMINI,Services informatiques,225.900,+1.99,221.900,227.300,221.300,219.200,232.600,3.25,30.05.23,486888,38992,0.28,1.63,23.02.24/17:35:29
CARREFOUR,Détaillants et grossistes - Alimentation,16.4150,+0.77,16.3000,16.4650,16.1250,15.9250,16.9050,0.56,06.06.23,2007536,11635,0.28,4.95,23.02.24/17:35:18
CREDIT AGRICOLE SA,Banques,12.5500,-0.35,12.5180,12.5640,12.4300,12.1740,12.9260,1.05,30.05.23,5260335,38312,0.17,7.27,23.02.24/17:35:01
DANONE,Produits alimentaires,60.710,-1.51,61.470,61.540,59.940,58.890,62.530,2,09.05.23,1367352,41148,0.20,3.47,23.02.24/17:35:04
DASSAULT SYSTEMES,Logiciels,43.3300,+0.08,43.3450,43.4700,42.8850,42.0350,44.6250,0.21,29.05.23,925416,57908,0.07,0.59,23.02.24/17:38:52
EDENRED,Gestion financière,50.240,+0.96,50.000,50.600,49.280,48.740,51.740,1,07.06.23,790903,12539,0.32,2.42,23.02.24/17:35:10
ENGIE,Services multiples aux collectivités,14.8400,+0.58,14.7700,14.9560,14.6780,14.3960,15.2840,1.4,28.04.23,7025008,36140,0.29,8.11,23.02.24/17:35:03
ESSILORLUXOTTICA,Fournitures médicales,194.320,+1.15,192.000,195.100,191.880,188.500,200.100,3.23,22.05.23,527810,88189,0.12,2.01,23.02.24/17:35:01
EUROFINS SCIENTIFIC,Prestataires de soins de santé,58.020,+0.94,57.600,58.260,57.500,56.280,59.760,1,04.07.23,247220,11197,0.13,1.74,23.02.24/17:35:06
HERMES INTL,Habillement et accessoires,2301.000,+1.37,2275.000,2308.500,2271.000,2232.000,2370.000,3.5,13.02.24,52798,242915,0.05,0.75,23.02.24/17:35:15
KERING,Distributeurs - Diversifiés,425.650,-2.04,434.600,438.150,424.850,412.900,438.400,4.5,15.01.24,224170,52534,0.18,3.22,23.02.24/17:36:27
